id ,nombre ,descripción,precio,precio50,precio125,precio250,precio500,precio1000,factorCrudo
1,🍍 Piña miel deshidratada,"Elaborada con piña miel seleccionada.
Ideal como snack natural o para acompañar yogurt y postres.",45,45,107,203,385.7,733,60
2,🍏 Manzana verde deshidratada (nacional),"Con un equilibrio perfecto entre dulzura y acidez.
Crujiente y refrescante, perfecta para cualquier momento del día.",35,35,83.125,157.9375,300.08125,570.154375,70
3,Papaya deshidratada,"Suave, dulce y rica en sabor tropical.
Una opción saludable para disfrutar como snack o en mezclas.",40,40,95,180.5,342.95,651.605,55
4,🍓 Fresa deshidratada,"Intensa en sabor y aroma natural.
Perfecta para snacks, cereales o repostería.",80,80,190,361,685.9,1303.21,140
5,🥝 Kiwi deshidratado,"Exótico y ligeramente ácido, con un toque dulce.
Ideal para quienes buscan un snack diferente y nutritivo.",80,80,190,361,685.9,1303.21,140
6,🍉 Sandía deshidratada,"Ligera, dulce y desafiante.
Una forma práctica de disfrutar el sabor de la sandía todo el año.",60,60,142.5,270.75,514.425,977.4075,60
7,🥩 Carne seca (cecina),"Carne seleccionada, sazonada y deshidratada cuidadosamente.
Alta en proteína, perfecta como snack salado y energético.",60,60,145.5,282.27,547.6038,1062.351372,330
8,🥭 Mango manila deshidratado,"Dulce, suave y con el sabor tradicional del mango manila.
Ideal como snack natural o complemento en tus recetas.",40,40,95,180.5,342.95,651.605,80
9,🍑 Durazno deshidratado,"Suave, aromático y con un dulzor delicado.
Perfecto para disfrutar solo o agregar a postres y mezclas.",45,45,106.875,203.0625,385.81875,733.055625,140
10,"
🍈  Guayaba Deshidratada","Dulce, fragante y con un sabor tropical muy especial.
Ideal para un snack diferente y lleno de sabor natural.",35,35,83.125,157.9375,300.08125,570.154375,70
11,🍋 Limon sin semilla deshidratado,"Cítrico, intenso y muy versátil.
Perfecto para botanear, decorar bebidas o complementar recetas.",35,35,83.125,157.9375,300.08125,570.154375,75
12,🍊 Naranja deshidratada,"Dulce, cítrica y llena de frescura.
Ideal para snack, infusiones o decoración de postres y bebidas.",30,30,71.25,135.375,257.2125,488.70375,65
13,Toranja deshidratada,"Con un sabor cítrico y ligeramente amargo muy característico.
Perfecta para quienes disfrutan sabores intensos y refrescantes.",40,40,95,180.5,342.95,651.605,20
14,🍋 Lima deshidratada,"Pequeña, aromática y con un toque ácido muy fresco.
Ideal para bebidas, botanas o como complemento en tus recetas.",50,50,118.75,225.625,428.6875,814.50625,20
15,🫐 Blueberry deshidratado,"Pequeño, dulce y lleno de sabor.
Perfecto para yogurt, cereales, repostería o snack diario.",100,100,237.5,451.25,857.375,1629.0125,20
16,Frambuesa deshidratada,"Delicada, ligeramente ácida y con un dulzor natural.
Ideal para decorar postres o disfrutar como snack ligero.",100,100,237.5,451.25,857.375,1629.0125,20
17,Zarzamora deshidratada,"Intensa, jugosa y con un sabor entre dulce y ácido.
Perfecta para mezclas, cereales o antojos frutales.",100,100,237.5,451.25,857.375,1629.0125,20
18,🍐 Pera deshidratada,"Suave, dulce y naturalmente reconfortante.
Ideal para un snack ligero o para acompañar tablas y postres.",35,35,83.125,157.9375,300.08125,570.154375,20
19,🍈 Melon deshidratado,"Dulce, fresco y con un sabor suave muy agradable.
Perfecto para disfrutar como snack tropical a cualquier hora.",45,45,106.875,203.0625,385.81875,733.055625,20
20,🥒 Pepino deshidratado,"Ligero, crujiente y diferente.
Ideal para quienes buscan una botana original y refrescante.",30,30,71.25,135.375,257.2125,488.70375,20
21,🍎 Manzana roja deshidratada,"Dulce, suave y con el sabor clásico de la manzana roja.
Perfecta para snack, lunch o acompañar otras frutas.",35,35,83.125,157.9375,300.08125,570.154375,20
22,🥭 Mango paraiso deshidratado,"Dulce y con un sabor tropical intenso.
Ideal para quienes buscan un snack frutal lleno de personalidad.",45,45,106.875,203.0625,385.81875,733.055625,20
23,🍏 Manzana amarilla deshidratada,"Suave, dulce y delicadamente aromática.
Perfecta para disfrutar sola o en combinaciones frutales.",35,35,83.125,157.9375,300.08125,570.154375,20
24,🍊 Mandarina deshidratada,"Dulce, cítrica y muy aromática.
Ideal como snack o para dar un toque especial a bebidas y postres.",40,40,95,180.5,342.95,651.605,20
25,🍌 Platano deshidratado,"Dulce, suave y naturalmente energético.
Perfecto para snack, desayunos o mezclas con otras frutas.",35,35,83.125,157.9375,300.08125,570.154375,20
